Work Item Type,Title,Description,Acceptance Criteria,Priority,Story Points,Iteration Path,Area Path,Tags,State,Parent
Feature,"RF-101 · Registro con correo y contraseña, con validación de fortaleza y verificación de correo","<p>Registro con correo y contraseña, con validación de fortaleza y verificación de correo</p><p>Historias: US-0102</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-01,New,
Feature,RF-102 · Acceso federado (Google; Apple si se publica en iOS),<p>Acceso federado (Google; Apple si se publica en iOS)</p><p>Historias: US-0103</p>,,2,,Outfit,Outfit,RF; Fase 1; EP-01,New,
Feature,"RF-103 · Inicio, cierre y recuperación de sesión con enlace de un solo uso y expiración","<p>Inicio, cierre y recuperación de sesión con enlace de un solo uso y expiración</p><p>Historias: US-0104</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-01,New,
Feature,"RF-104 · Consentimiento granular, versionado y revocable por finalidad (imagen, biometría, marketing, analítica opcional)","<p>Consentimiento granular, versionado y revocable por finalidad (imagen, biometría, marketing, analítica opcional)</p><p>Historias: US-0105</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-01,New,
Feature,RF-105 · Revocación de consentimientos y eliminación de cuenta con borrado verificable,<p>Revocación de consentimientos y eliminación de cuenta con borrado verificable</p><p>Historias: US-0106</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-01,New,
Feature,RF-106 · Exportación de datos del usuario en formato legible por máquina (portabilidad),<p>Exportación de datos del usuario en formato legible por máquina (portabilidad)</p><p>Historias: US-1514</p>,,2,,Outfit,Outfit,RF; Fase 2; EP-01,New,
Feature,RF-107 · MFA/2FA obligatorio para roles administrativos y de plataforma,<p>MFA/2FA obligatorio para roles administrativos y de plataforma</p><p>Historias: EN-1511</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-01,New,
Feature,RF-108 · Defensa contra fuerza bruta y credential stuffing en todos los endpoints de autenticación,<p>Defensa contra fuerza bruta y credential stuffing en todos los endpoints de autenticación</p><p>Historias: EN-1510</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-01,New,
Feature,"RF-109 · Gestión de sesiones activas: listar, revocar individual y revocar todas","<p>Gestión de sesiones activas: listar, revocar individual y revocar todas</p><p>Historias: EN-1512</p>",,2,,Outfit,Outfit,RF; Fase 2; EP-01,New,
Feature,RF-110 · Selección de tenant/tienda activa en aplicaciones administrativas multi-ámbito,<p>Selección de tenant/tienda activa en aplicaciones administrativas multi-ámbito</p><p>Historias: US-0107</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-01,New,
Feature,RF-111 · Bloqueo de flujos corporales para menores de 18 años hasta análisis jurídico,<p>Bloqueo de flujos corporales para menores de 18 años hasta análisis jurídico</p><p>Historias: US-0105</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-01,New,
Feature,RF-201 · Captura manual de medidas corporales con guía visual por medida,<p>Captura manual de medidas corporales con guía visual por medida</p><p>Historias: US-0202</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-02,New,
Feature,"RF-202 · Validación de rangos plausibles y coherencia entre medidas, con aviso no bloqueante","<p>Validación de rangos plausibles y coherencia entre medidas, con aviso no bloqueante</p><p>Historias: US-0203</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-02,New,
Feature,RF-203 · Conversión bidireccional cm ⇄ pulgadas y kg ⇄ lb sin pérdida,<p>Conversión bidireccional cm ⇄ pulgadas y kg ⇄ lb sin pérdida</p><p>Historias: US-0203</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-02,New,
