Work Item Type,Title,Description,Acceptance Criteria,Priority,Story Points,Iteration Path,Area Path,Tags,State,Parent
Epic,EP-00 · Fundación de producto y automatización,"<p>Establecer arquitectura, repositorios, entornos, contratos y controles automáticos para desarrollar con calidad repetible.</p><p>KPI: 100% de PR con build, lint y pruebas automáticas</p>",,2,,Outfit,Outfit,Epica; EP-00,New,
Epic,"EP-01 · Identidad, onboarding y consentimiento","<p>Permitir acceso seguro, explicar el valor y obtener consentimiento trazable antes de tratar imágenes o datos corporales.</p><p>KPI: Conversión registro → consentimiento ≥ 70%</p>",,2,,Outfit,Outfit,Epica; EP-01,New,
Epic,EP-02 · Perfil corporal y preferencias,"<p>Capturar y mantener medidas, unidades, estilo, colores y contexto de uso con validaciones claras.</p><p>KPI: Perfil corporal completo ≥ 80% de usuarios activados</p>",,2,,Outfit,Outfit,Epica; EP-02,New,
Epic,EP-03 · Avatar y gemelo digital,"<p>Representar al usuario de forma progresiva: silueta 2D, avatar paramétrico y, solo tras validar precisión, escaneo avanzado.</p><p>KPI: Error de ajuste dentro del umbral aprobado por producto</p>",,2,,Outfit,Outfit,Epica; EP-03,New,
Epic,"EP-04 · Catálogo, prendas e inventario","<p>Exponer prendas, variantes, activos y stock por tienda con datos confiables y actualizables.</p><p>KPI: Cobertura de stock vigente ≥ 98%</p>",,2,,Outfit,Outfit,Epica; EP-04,New,
Epic,EP-05 · Recomendación de talla,"<p>Recomendar talla por marca y prenda con nivel de confianza, explicación y alternativa segura.</p><p>KPI: Confirmación de talla recomendada ≥ 75% en piloto</p>",,2,,Outfit,Outfit,Epica; EP-05,New,
Epic,EP-06 · Probador virtual 2D y AR,<p>Permitir visualizar prendas con una ruta gradual: overlay 2D en MVP y AR 3D en dispositivos compatibles.</p><p>KPI: Prueba virtual completada ≥ 85% de intentos</p>,,2,,Outfit,Outfit,Epica; EP-06,New,
Epic,EP-07 · IA Stylist y recomendación de outfits,"<p>Sugerir looks pertinentes por cuerpo, estilo, ocasión, clima, disponibilidad y retroalimentación.</p><p>KPI: Outfits guardados o abiertos ≥ 20%</p>",,2,,Outfit,Outfit,Epica; EP-07,New,
Epic,"EP-08 · Favoritos, closet e historial","<p>Facilitar que el usuario guarde prendas, looks, pruebas y artículos propios para volver a la app.</p><p>KPI: Retención D30 de usuarios con closet &gt; usuarios sin closet</p>",,2,,Outfit,Outfit,Epica; EP-08,New,
Epic,EP-09 · Compra omnicanal,"<p>Convertir la recomendación en reserva, visita, carrito, compra, seguimiento y devolución coherentes entre canales.</p><p>KPI: CTR probador → acción comercial ≥ 15%</p>",,2,,Outfit,Outfit,Epica; EP-09,New,
Epic,EP-10 · Engagement y fidelización,"<p>Generar regreso útil mediante alertas consentidas, novedades, recordatorios y aprendizaje de preferencias.</p><p>KPI: Opt-in de notificaciones ≥ 35% sin aumentar desinstalación</p>",,2,,Outfit,Outfit,Epica; EP-10,New,
Epic,EP-11 · Portal administrativo de tienda,"<p>Permitir a comercios gestionar catálogo, tallas, activos, inventario y publicación sin depender del equipo técnico.</p><p>KPI: Publicación de una prenda válida &lt; 5 min</p>",,2,,Outfit,Outfit,Epica; EP-11,New,
Epic,EP-12 · SaaS multi-tenant,"<p>Operar varias tiendas con aislamiento de datos, roles, marca, límites y configuración independientes.</p><p>KPI: 0 accesos cruzados entre tenants</p>",,2,,Outfit,Outfit,Epica; EP-12,New,
Epic,EP-13 · Analítica B2B y experimentación,"<p>Medir adopción, ajuste, conversión, devoluciones e inventario con datos anonimizados y accionables.</p><p>KPI: ≥ 95% de eventos críticos con esquema válido</p>",,2,,Outfit,Outfit,Epica; EP-13,New,
Epic,EP-14 · Espejo inteligente y modo kiosco,<p>Conectar la experiencia física con el perfil móvil sin conservar datos de una sesión ajena.</p><p>KPI: Emparejamiento kiosco → móvil exitoso ≥ 90%</p>,,2,,Outfit,Outfit,Epica; EP-14,New,
Epic,"EP-15 · Seguridad, privacidad, calidad y accesibilidad","<p>Tratar datos sensibles con privacidad desde el diseño y asegurar rendimiento, resiliencia, inclusión y trazabilidad.</p><p>KPI: Crash-free sessions ≥ 99,8%; 0 hallazgos críticos abiertos</p>",,2,,Outfit,Outfit,Epica; EP-15,New,
Epic,"EP-16 · Operación, soporte y monetización","<p>Gestionar releases, soporte, planes, cobro, cuotas, costos de IA y continuidad operativa.</p><p>KPI: Costo variable por usuario dentro del margen objetivo</p>",,2,,Outfit,Outfit,Epica; EP-16,New,
Epic,EP-17 · Super administración de plataforma,<p>Operar N empresas sin tocar código ni base de datos.</p><p>KPI: Aprovisionar un tenant nuevo en &lt; 15 min sin intervención de ingeniería</p>,,2,,Outfit,Outfit,Epica; EP-17,New,
Epic,EP-18 · Auditoría y trazabilidad de acciones,"<p>Poder responder quién hizo qué, cuándo y sobre qué en cualquier acción administrativa.</p><p>KPI: 100% de acciones administrativas con registro íntegro</p>",,2,,Outfit,Outfit,Epica; EP-18,New,
Epic,EP-19 · Plataforma web y paridad de canales,<p>Que web y móvil sean el mismo producto con el mismo sistema de diseño.</p><p>KPI: 0 divergencias de token entre plataformas</p>,,2,,Outfit,Outfit,Epica; EP-19,New,
Epic,EP-20 · Publicidad y anunciantes,"<p>Generar ingresos por publicidad contextual sin usar datos corporales.</p><p>KPI: Ingreso por usuario activo dentro del objetivo, con 0 segmentación por cuerpo</p>",,2,,Outfit,Outfit,Epica; EP-20,New,
