Work Item Type,Title,Description,Acceptance Criteria,Priority,Story Points,Iteration Path,Area Path,Tags,State,Parent
User Story,US-0001 · Contrato de producto y alcance MVP,"<p>Como Product Owner, quiero disponer de una visión, personas, métricas, alcance y exclusiones aprobadas, para evitar construir funciones vistosas que no validen el negocio.</p><p>Origen: Backlog_Ejecutable · ID interno: US-0001</p>","<ol><li>Dado que existe la propuesta, el prototipo y la referencia AI Mirror, cuando se revisa el contrato, entonces incluye problema, segmentos B2C/B2B, propuesta de valor, KPI y supuestos.</li><li>Dado que el MVP debe salir en tres meses, cuando se consulta el alcance, entonces incluye medidas manuales, talla, catálogo y overlay 2D; excluye física realista, pagos y multi-tenant.</li><li>Dado que una decisión cambia alcance, costo o fecha, cuando el PO la aprueba, entonces queda registrada con fecha, responsable e impacto.</li></ol>",1,3,Outfit\Sprint 0,Outfit,EP-00; Fase 1 - MVP; Historia,New,
User Story,EN-0002 · Arquitectura Android modular y offline-first,"<p>Como equipo de desarrollo, quiero contar con módulos de UI, dominio y datos desacoplados mediante repositorios, para cambiar fuentes de datos sin reescribir las pantallas.</p><p>Origen: Backlog_Ejecutable · ID interno: EN-0002</p>","<ol><li>Dado que se crea la solución, cuando se inspecciona la estructura, entonces separan app, core, datos y features con dependencias unidireccionales.</li><li>Dado que una pantalla necesita datos, cuando se implementa, entonces accede mediante ViewModel y repositorio, nunca directamente a Firebase o Room.</li><li>Dado que no hay conectividad, cuando se abre contenido previamente sincronizado, entonces la app entrega datos locales y muestra su estado de actualización.</li></ol>",1,5,Outfit\Sprint 0,Outfit,EP-00; Fase 1 - MVP; Enabler; architecture; android; offline,New,
User Story,"EN-0003 · Repositorio, estrategia Git y plantillas","<p>Como equipo de desarrollo, quiero trabajar con ramas cortas, revisiones y plantillas consistentes, para reducir retrabajo y mantener trazabilidad historia-código.</p><p>Origen: Backlog_Ejecutable · ID interno: EN-0003</p>","<ol><li>Dado que se abre un pull request, cuando la plantilla carga, entonces solicita historia, evidencia, riesgos, pruebas y capturas.</li><li>Dado que un cambio afecta código protegido, cuando se solicita merge, entonces requiere revisión y controles exitosos.</li><li>Dado que se crea una incidencia, cuando se elige plantilla, entonces existen formatos para historia, defecto, spike y deuda técnica.</li></ol>",1,3,Outfit\Sprint 0,Outfit,EP-00; Fase 1 - MVP; Enabler; git; governance,New,
User Story,EN-0004 · Integración continua Android,"<p>Como equipo de desarrollo, quiero ejecutar build, lint y pruebas en cada pull request, para detectar fallos antes de integrar.</p><p>Depende de: EN-0003</p><p>Origen: Backlog_Ejecutable · ID interno: EN-0004</p>","<ol><li>Dado que se abre o actualiza un PR, cuando se activa el workflow, entonces ejecuta Gradle Wrapper, lint, pruebas unitarias y assembleDebug.</li><li>Dado que cualquier control falla, cuando finaliza el workflow, entonces el estado bloquea el merge y conserva los reportes.</li><li>Dado que todos los controles pasan, cuando finaliza el workflow, entonces publica el APK de debug como artefacto versionado.</li></ol>",1,5,Outfit\Sprint 0,Outfit,EP-00; Fase 1 - MVP; Enabler; ci; github-actions; gradle,New,
User Story,EN-0005 · Entornos y gestión de secretos,"<p>Como equipo de desarrollo, quiero separar configuración local, desarrollo, pruebas y producción, para evitar fugas y pruebas sobre datos reales.</p><p>Depende de: EN-0003</p><p>Origen: Backlog_Ejecutable · ID interno: EN-0005</p>","<ol><li>Dado que un desarrollador clona el repositorio, cuando compila sin secretos productivos, entonces usa configuración local documentada y emuladores.</li><li>Dado que se analiza el repositorio, cuando se buscan credenciales, entonces no existen llaves, tokens ni archivos de servicio versionados.</li><li>Dado que una versión se despliega, cuando selecciona su entorno, entonces usa proyecto, endpoint, logging y feature flags correspondientes.</li></ol>",1,3,Outfit\Sprint 0,Outfit,EP-00; Fase 1 - MVP; Enabler; devsecops; secrets,New,
User Story,EN-1501 · Mapa de datos y modelo inicial de amenazas,"<p>Como responsable de privacidad, quiero identificar datos personales, corporales, imágenes, finalidades, accesos y retención, para aplicar privacidad desde el diseño.</p><p>Origen: Backlog_Ejecutable · ID interno: EN-1501</p>","<ol><li>Dado que se revisan los flujos, cuando se completa el inventario, entonces cada dato tiene finalidad, base de autorización, ubicación, responsable y retención.</li><li>Dado que se identifica un dato corporal o imagen, cuando se clasifica, entonces queda marcado como sensible/alto impacto y con controles reforzados.</li><li>Dado que se modelan amenazas, cuando se priorizan, entonces existen mitigaciones y propietario para riesgos altos antes de producción.</li></ol>",1,5,Outfit\Sprint 0,Outfit,EP-15; Fase 1 - MVP; Enabler; privacy; security,New,
User Story,US-0101 · Onboarding orientado a valor,"<p>Como persona visitante, quiero entender en máximo cuatro pantallas qué resuelve VístIA y qué necesita de mí, para decidir informadamente si deseo comenzar.</p><p>Depende de: US-0001</p><p>Origen: Backlog_Ejecutable · ID interno: US-0101</p>","<ol><li>Dado que es la primera apertura, cuando se muestra el onboarding, entonces explica talla, estilo, avatar y probador sin prometer precisión no validada.</li><li>Dado que la persona avanza o retrocede, cuando usa los controles, entonces conserva el progreso y conoce cuántos pasos faltan.</li><li>Dado que pulsa omitir, cuando sale del onboarding, entonces llega al acceso y puede consultar política de privacidad.</li></ol>",1,3,Outfit\Sprint 1,Outfit,EP-01; Fase 1 - MVP; Historia,New,
User Story,US-0102 · Registro con correo,"<p>Como persona visitante, quiero crear una cuenta mediante correo y contraseña, para guardar mi perfil y usarlo en otros dispositivos.</p><p>Depende de: EN-0005</p><p>Origen: Backlog_Ejecutable · ID interno: US-0102</p>","<ol><li>Dado que el correo es válido y la contraseña cumple la política, cuando envía el registro, entonces se crea la cuenta y se solicita verificación.</li><li>Dado que el correo ya existe, cuando intenta registrarse, entonces recibe un mensaje no revelador y la opción de iniciar sesión o recuperar acceso.</li><li>Dado que faltan datos, cuando envía el formulario, entonces los campos se validan en línea sin perder la información digitada.</li></ol>",1,5,Outfit\Sprint 1,Outfit,EP-01; Fase 1 - MVP; Historia,New,
User Story,US-0103 · Acceso con Google,"<p>Como persona visitante, quiero registrarme o entrar con Google, para reducir fricción sin crear otra contraseña.</p><p>Depende de: US-0102</p><p>Origen: Backlog_Ejecutable · ID interno: US-0103</p>","<ol><li>Dado que elijo Google, cuando completo el flujo autorizado, entonces se crea o recupera una única cuenta vinculada.</li><li>Dado que cancelo o falla el proveedor, cuando regreso a VístIA, entonces la app mantiene estado seguro y ofrece reintento u otro método.</li><li>Dado que ya existe una cuenta con el mismo correo, cuando se valida la identidad, entonces no se duplican perfil, medidas ni favoritos.</li></ol>",2,3,Outfit\Sprint 1,Outfit,EP-01; Fase 1 - MVP; Historia,New,
User Story,"US-0104 · Inicio, cierre y recuperación de sesión","<p>Como persona usuaria, quiero iniciar, mantener, cerrar y recuperar mi sesión, para acceder de forma segura sin quedar bloqueada.</p><p>Depende de: US-0102</p><p>Origen: Backlog_Ejecutable · ID interno: US-0104</p>","<ol><li>Dado que las credenciales son correctas, cuando inicio sesión, entonces accedo al inicio y la sesión persiste de forma segura.</li><li>Dado que solicito recuperación, cuando confirmo el correo, entonces recibo un enlace de un solo uso con vigencia limitada.</li><li>Dado que cierro sesión, cuando finaliza el proceso, entonces se eliminan tokens locales y no se muestran datos personales en retorno.</li></ol>",1,5,Outfit\Sprint 1,Outfit,EP-01; Fase 1 - MVP; Historia,New,
